Academy of En	ET 88C,FRIA C T 	ET 88C	FRIA C T 					3
Communicatio	COM ST 35,SHAFFER J M	COM ST 35	SHAFFER J M	1	12	8		34
Communicatio	COM ST 35,BROWN N A	COM ST 35	BROWN N A	7	9	8		28
Communicatio	COM ST 35,BROWN N A	COM ST 35	BROWN N A	8	4	1		22
Communicatio	COM ST 35,WALKER D A	COM ST 35	WALKER D A	15	5	2		24
Communicatio	COM ST 35,SMITH F N	COM ST 35	SMITH F N	2	7	7		22
Communicatio	COM ST 35,KAIMIKAUA C I	COM ST 35	KAIMIKAUA C I	13	9			30
Communicatio	COM ST 35,BERGSTROM L M	COM ST 35	BERGSTROM L M	13	6	4		32
Communicatio	COM ST 37,SADEGHI-TABRIZI F	COM ST 37	SADEGHI-TABRIZI F	5	10	9		32
Communicatio	COM ST 37,PICARELLI R R	COM ST 37	PICARELLI R R	8	14	2		32
Communicatio	COM ST 37,SMITH H A	COM ST 37	SMITH H A	5	6	3		26
Communicatio	COM ST 37,SMITH H A	COM ST 37	SMITH H A	5	5	3		27
Communicatio	COM ST 37,KAIMIKAUA C I	COM ST 37	KAIMIKAUA C I	4	5	1		20
Communicatio	COM ST 37,GRASS HEMMERT N L	COM ST 37	GRASS HEMMERT N L	5	6	6		27
Communicatio	FILM 1,BOLUS M P	FILM 1	BOLUS M P	14	13	4		36
Communicatio	FILM 1,LAFFEY S A	FILM 1	LAFFEY S A	10	12	6		39
Communicatio	FILM 1,HUNT S E	FILM 1	HUNT S E	13	7	1		29
Communicatio	FILM 1,CRUM J	FILM 1	CRUM J	8	4	1		16
Communicatio	FILM 1,LEECH M R	FILM 1	LEECH M R	26	7	2		41
Communicatio	FILM 2,KANIN J D	FILM 2	KANIN J D	10	50	2		87
Communicatio	FILM 2,KANIN J D	FILM 2	KANIN J D	29	41	5		88
Communicatio	FILM 2,CARRASCO S	FILM 2	CARRASCO S	21	18			48
Communicatio	FILM 5,SHADYAC T P	FILM 5	SHADYAC T P	33	2			39
Communicatio	FILM 5,KANIN J D	FILM 5	KANIN J D	19	40	1		86
Communicatio	FILM 6,HUNT S E	FILM 6	HUNT S E	15	7			29
Communicatio	FILM 7,CARRASCO S	FILM 7	CARRASCO S	29	4			38
Communicatio	FILM 8,LAFFEY S A	FILM 8	LAFFEY S A	5	11	5		33
Communicatio	FILM 8,ROSENBERG V L	FILM 8	ROSENBERG V L	6	9	2		24
Communicatio	FILM 8,KANIN J D	FILM 8	KANIN J D	25	31	3		79
Communicatio	FILM 9,FLOOD S W	FILM 9	FLOOD S W	13	10	2		32
Communicatio	FILM 11,POIRIER N P	FILM 11	POIRIER N P	55	7	3		75
Communicatio	FILM 20,BIRNBAUM M J	FILM 20	BIRNBAUM M J	5	14	8		40
Communicatio	FILM 20,MATTHEWS M N	FILM 20	MATTHEWS M N	10	9	7		33
Communicatio	FILM 21,MATTHEWS M N	FILM 21	MATTHEWS M N	1	4	8		17
Communicatio	FILM 21,ROSENTHAL L	FILM 21	ROSENTHAL L	12	8			25
Communicatio	FILM 21,NOLAND G K	FILM 21	NOLAND G K	2	6	2		21
Communicatio	FILM 30,DANIELS R	FILM 30	DANIELS R	13	2	5		25
Communicatio	FILM 31,BARTESAGHI S	FILM 31	BARTESAGHI S	20	4	1		32
Communicatio	FILM 31,BARTESAGHI S	FILM 31	BARTESAGHI S	25	5	2		34
Communicatio	FILM 32,CARRASCO S	FILM 32	CARRASCO S	27	1	1		30
Communicatio	FILM 32L,CARRASCO S	FILM 32L	CARRASCO S	27	1	1		30
Communicatio	FILM 33,CARRASCO S	FILM 33	CARRASCO S	23		1		26
Communicatio	FILM 33L,CARRASCO S	FILM 33L	CARRASCO S	22		1		25
Communicatio	FILM 40,SMITH C W	FILM 40	SMITH C W	7	7	10		29
Communicatio	FILM 40,SMITH C W	FILM 40	SMITH C W	8	9	3		27
Communicatio	FILM 50,PLATT H H	FILM 50	PLATT H H	9	5	3		27
Communicatio	FILM 90B,BARTESAGHI S 	FILM 90B	BARTESAGHI S 					2
Communicatio	JOURN 1,STAMBLER L S	JOURN 1	STAMBLER L S	11	4			19
Communicatio	JOURN 1,OBSATZ S B	JOURN 1	OBSATZ S B	25	2	1		31
Communicatio	JOURN 1,RUBIN S M	JOURN 1	RUBIN S M	6	4	1		19
Communicatio	JOURN 4A,GIGGANS J H	JOURN 4A	GIGGANS J H	5	7			15
Communicatio	JOURN 8,STAMBLER L S	JOURN 8	STAMBLER L S	11	6	2	1	26
Communicatio	JOURN 8,STAMBLER L S	JOURN 8	STAMBLER L S	4	5			24
Communicatio	JOURN 15,RUBIN S M	JOURN 15	RUBIN S M	6	3	3		25
Communicatio	JOURN 16,RUBIN S M	JOURN 16	RUBIN S M	15	2	2		30
Communicatio	JOURN 17,RUBIN S M	JOURN 17	RUBIN S M	1		1		2
Communicatio	JOURN 17,RUBIN S M	JOURN 17	RUBIN S M	3				3
Communicatio	JOURN 21,BURKHART G J	JOURN 21	BURKHART G J	6				11
Communicatio	JOURN 22,BURKHART G J	JOURN 22	BURKHART G J	4				7
Communicatio	JOURN 43,ADELMAN A	JOURN 43	ADELMAN A	6	8	1		15
Communicatio	JOURN 90B,RUBIN S M 	JOURN 90B	RUBIN S M 					1
Communicatio	MEDIA 1,ROSENBERG V L	MEDIA 1	ROSENBERG V L	12	13	8		36
Communicatio	MEDIA 1,MOVIUS L	MEDIA 1	MOVIUS L	17	11	5		39
Communicatio	MEDIA 1,MOVIUS L	MEDIA 1	MOVIUS L	17	18	3		39
Communicatio	MEDIA 1,SAVAGE T L	MEDIA 1	SAVAGE T L	10	20	6		40
Communicatio	MEDIA 1,MITCHELL S V	MEDIA 1	MITCHELL S V	12	3	13		41
Communicatio	MEDIA 1,BREWER S L	MEDIA 1	BREWER S L	13	7	5	1	28
Communicatio	MEDIA 1,MUNOZ M E	MEDIA 1	MUNOZ M E	14	11	5		40
Communicatio	MEDIA 1,BREWER S L	MEDIA 1	BREWER S L	16	3	1		28
Communicatio	MEDIA 1,RAZ J G	MEDIA 1	RAZ J G	26	7	3		46
Communicatio	MEDIA 1,DICKINSON L M	MEDIA 1	DICKINSON L M	7	9	8		34
Communicatio	MEDIA 1,MUNOZ M E	MEDIA 1	MUNOZ M E	15	8	8		41
Communicatio	MEDIA 1,CHARLES H E	MEDIA 1	CHARLES H E	15	12	2		44
Communicatio	MEDIA 1,RAZ J G	MEDIA 1	RAZ J G	24	6	5		43
Communicatio	MEDIA 1,BREWER S L	MEDIA 1	BREWER S L	31	4	2		37
Communicatio	MEDIA 1,BREWER S L	MEDIA 1	BREWER S L	24	6			34
Communicatio	MEDIA 1,MOVIUS L	MEDIA 1	MOVIUS L	17	10	7	1	40
Communicatio	MEDIA 1,BREWINGTON R H	MEDIA 1	BREWINGTON R H	17	12			40
Communicatio	MEDIA 1,MOVIUS L	MEDIA 1	MOVIUS L	15	13	4		34
Communicatio	MEDIA 1,MATTHEWS M N	MEDIA 1	MATTHEWS M N	16		5		26
Communicatio	MEDIA 1,COLEMAN D	MEDIA 1	COLEMAN D	12	13	5		41
Communicatio	MEDIA 1,SIMMONS R D	MEDIA 1	SIMMONS R D	5	9	8		33
Communicatio	MEDIA 1,SIMMONS R D	MEDIA 1	SIMMONS R D	9	13	8		39
Communicatio	MEDIA 2,SCHOFIELD J E	MEDIA 2	SCHOFIELD J E	11	6	3		27
Communicatio	MEDIA 10,GOUGIS M J	MEDIA 10	GOUGIS M J	23	10	4		38
Communicatio	MEDIA 10,GOUGIS M J	MEDIA 10	GOUGIS M J	16	9	3		33
Communicatio	MEDIA 10,MOVIUS L	MEDIA 10	MOVIUS L	18	8	4		33
Communicatio	MEDIA 10,GOUGIS M J	MEDIA 10	GOUGIS M J	23	7	4	2	37
Communicatio	MEDIA 10,MOVIUS L	MEDIA 10	MOVIUS L	23	8	1		32
Communicatio	MEDIA 10,HORWITZ J T	MEDIA 10	HORWITZ J T	22	2			25
Communicatio	MEDIA 10,SCHOFIELD J E	MEDIA 10	SCHOFIELD J E	30	2	3		38
Communicatio	MEDIA 10,DICKINSON L M	MEDIA 10	DICKINSON L M	19	7	3	1	42
Communicatio	MEDIA 10,COLEMAN D	MEDIA 10	COLEMAN D	8	10	7	1	29
Communicatio	MEDIA 10,KLEIN K R	MEDIA 10	KLEIN K R	14	5	7		39
Communicatio	MEDIA 10,SCHOFIELD J E	MEDIA 10	SCHOFIELD J E	19	3	2		27
Communicatio	MEDIA 10,BREWER S L	MEDIA 10	BREWER S L	18	7	4		34
Communicatio	MEDIA 10,CHARLES H E	MEDIA 10	CHARLES H E	28	10	1		44
Communicatio	MEDIA 10,GOLDSTEIN MARTIN M	MEDIA 10	GOLDSTEIN MARTIN M	12	15	2	1	33
Communicatio	MEDIA 10,MUNOZ M E	MEDIA 10	MUNOZ M E	17	8	2		36
Communicatio	MEDIA 10,MUNOZ M E	MEDIA 10	MUNOZ M E	15	9	2		34
Communicatio	MEDIA 10,PERNISCO N	MEDIA 10	PERNISCO N	11	7	6		33
Communicatio	MEDIA 10,MUNOZ M E	MEDIA 10	MUNOZ M E	7	12	9		31
Communicatio	MEDIA 10,OBSATZ S B	MEDIA 10	OBSATZ S B	43				47
Communicatio	MEDIA 10,GOLDSTEIN MARTIN M	MEDIA 10	GOLDSTEIN MARTIN M	15	8	5		32
Communicatio	MEDIA 10,OBSATZ S B	MEDIA 10	OBSATZ S B	32	6	1	1	46
Communicatio	MEDIA 10,DICKINSON L M	MEDIA 10	DICKINSON L M	7	15	6		34
Communicatio	MEDIA 10,GOLDSTEIN MARTIN M	MEDIA 10	GOLDSTEIN MARTIN M	14	17	7		42
Communicatio	MEDIA 11,SAVAGE T L	MEDIA 11	SAVAGE T L	14	6	6		31
Communicatio	MEDIA 11,SHAW R D	MEDIA 11	SHAW R D	10	10	3		30
Communicatio	MEDIA 12,GIGGANS J H	MEDIA 12	GIGGANS J H	7	7	9		34
Communicatio	MEDIA 13,BREWINGTON R H	MEDIA 13	BREWINGTON R H	7	11	1		30
Communicatio	MEDIA 13,BREWINGTON R H	MEDIA 13	BREWINGTON R H	8	13	3		31
Communicatio	MEDIA 14,GIGGANS J H	MEDIA 14	GIGGANS J H	5	3	5		16
Communicatio	MEDIA 16,CARLUCCI M A	MEDIA 16	CARLUCCI M A	20	2			29
Communicatio	MEDIA 18,ADELMAN A	MEDIA 18	ADELMAN A	3	10	2		19
Communicatio	MEDIA 20,CAPTOR R	MEDIA 20	CAPTOR R	9	4	4		26
Communicatio	MEDIA 46,FETZER G C	MEDIA 46	FETZER G C	19	4	2	1	35
Communicatio	MEDIA 48,SHAW R D	MEDIA 48	SHAW R D	5	1	2		18
Communicatio	MEDIA 88A,GRASS HEMMERT N L	MEDIA 88A	GRASS HEMMERT N L	1				1
Communicatio	MEDIA 88B,GRASS HEMMERT N L	MEDIA 88B	GRASS HEMMERT N L	4				4
Communicatio	PHOTO 13,BURKHART G J	PHOTO 13	BURKHART G J	7	1	1		17
Communicatio	PHOTO 14,BURKHART G J	PHOTO 14	BURKHART G J	5	1	1		14
Computer Scie	ACCTG 35,VALDIVIA O	ACCTG 35	VALDIVIA O	8	4	2		20
Computer Scie	ACCTG 35,ZIMMERMAN W L	ACCTG 35	ZIMMERMAN W L	3	5	2		19
Computer Scie	ACCTG 35,ZIMMERMAN W L	ACCTG 35	ZIMMERMAN W L	7	5			20
Computer Scie	CIS 1,RAHNI M	CIS 1	RAHNI M	4	15	3		31
Computer Scie	CIS 1,RAHNI M	CIS 1	RAHNI M	11	21	2		39
Computer Scie	CIS 1,SON L B	CIS 1	SON L B	6	6	8	1	34
Computer Scie	CIS 1,SCOTT JACQUELINE D	CIS 1	SCOTT JACQUELINE D	5	10	7		37
Computer Scie	CIS 1,PEREZ AGUILAR M	CIS 1	PEREZ AGUILAR M	4	9	7	1	35
Computer Scie	CIS 1,SON L B	CIS 1	SON L B	14	3	6		34
Computer Scie	CIS 1,HURLEY D P	CIS 1	HURLEY D P	5	6	3		22
Computer Scie	CIS 1,HURLEY D P	CIS 1	HURLEY D P	3	4	8		21
Computer Scie	CIS 1,ROTHAUPT B L	CIS 1	ROTHAUPT B L	13	2	3		18
Computer Scie	CIS 1,ROTHAUPT B L	CIS 1	ROTHAUPT B L	14	2			18
Computer Scie	CIS 1,ROTHAUPT B L	CIS 1	ROTHAUPT B L	14	2	1		21
Computer Scie	CIS 1,VALDIVIA O	CIS 1	VALDIVIA O	7	7	4		22
Computer Scie	CIS 1,RAHNI M	CIS 1	RAHNI M	3	14	2		30
Computer Scie	CIS 4,DELIA R M	CIS 4	DELIA R M	8	8	3		31
Computer Scie	CIS 4,SCOTT JACQUELINE D	CIS 4	SCOTT JACQUELINE D	3	5	4		29
Computer Scie	CIS 4,EL-KHOURY N R	CIS 4	EL-KHOURY N R	15	6	2		31
Computer Scie	CIS 4,JERRY G S	CIS 4	JERRY G S	22	2	4		34
Computer Scie	CIS 4,EL-KHOURY N R	CIS 4	EL-KHOURY N R	13	7	6		34
Computer Scie	CIS 4,EL-KHOURY N R	CIS 4	EL-KHOURY N R	6	8	3		41
Computer Scie	CIS 4,ROTHAUPT B L	CIS 4	ROTHAUPT B L	31	2			34
Computer Scie	CIS 4,DRAKE M G	CIS 4	DRAKE M G	8	5	3		35
Computer Scie	CIS 4,RODRIGUEZ J E	CIS 4	RODRIGUEZ J E	8	1	2		30
Computer Scie	CIS 4,JERRY G S	CIS 4	JERRY G S	24	6	3		35
Computer Scie	CIS 4,SCOTT JACQUELINE D	CIS 4	SCOTT JACQUELINE D	6	9	4		32
Computer Scie	CIS 4,SON L B	CIS 4	SON L B	15	4	1		31
Computer Scie	CIS 4,CANADA S A	CIS 4	CANADA S A	21	6	2		34
Computer Scie	CIS 4,JERRY G S	CIS 4	JERRY G S	18	2	2		29
Computer Scie	CIS 4,JERRY G S	CIS 4	JERRY G S	11	3	1	1	30
Computer Scie	CIS 4,ROTHAUPT B L	CIS 4	ROTHAUPT B L	20	2	1		27
Computer Scie	CIS 4,ROTHAUPT B L	CIS 4	ROTHAUPT B L	17	1	3		23
Computer Scie	CIS 4,VALDIVIA O	CIS 4	VALDIVIA O	6	4	2		19
Computer Scie	CIS 4,CANADA S A	CIS 4	CANADA S A	9	2	3		24
Computer Scie	CIS 4,CANADA S A	CIS 4	CANADA S A	2	4	2		16
Computer Scie	CIS 4,PINTO M M	CIS 4	PINTO M M	9	3	1		24
Computer Scie	CIS 4,CANADA S A	CIS 4	CANADA S A	6	7			22
Computer Scie	CIS 4,JERRY G S	CIS 4	JERRY G S	11	5	2	1	28
Computer Scie	CIS 4,CANADA S A	CIS 4	CANADA S A	14	7	2		32
Computer Scie	CIS 4,SIMMONDS A R	CIS 4	SIMMONDS A R	11	7	4		29
Computer Scie	CIS 9A,DARWICHE J	CIS 9A	DARWICHE J	1				3
Computer Scie	CIS 30,BOLANDHEMAT F	CIS 30	BOLANDHEMAT F	5	7	3	1	20
Computer Scie	CIS 30,BOLANDHEMAT F	CIS 30	BOLANDHEMAT F	17	5	3		31
Computer Scie	CIS 32,ROTHAUPT B L	CIS 32	ROTHAUPT B L	11	3	2	1	18
Computer Scie	CIS 35,VALDIVIA O	CIS 35	VALDIVIA O	4	1	1	1	7
Computer Scie	CIS 35,ZIMMERMAN W L 	CIS 35	ZIMMERMAN W L 	2	1	1	4	10
Computer Scie	CIS 35,ZIMMERMAN W L	CIS 35	ZIMMERMAN W L	6	1	1		10
Computer Scie	CIS 37A,GROSS D M	CIS 37A	GROSS D M	12	9	4		32
Computer Scie	CIS 40,VALDIVIA O	CIS 40	VALDIVIA O	10	4	1	1	23
Computer Scie	CIS 50,CLARK G B	CIS 50	CLARK G B	8	1	1		13
Computer Scie	CIS 50,BOLANDHEMAT F	CIS 50	BOLANDHEMAT F	5		1		17
Computer Scie	CIS 50,BOLANDHEMAT F	CIS 50	BOLANDHEMAT F	6	1	2		22
Computer Scie	CIS 50,VAUGHAN DANIEL H	CIS 50	VAUGHAN DANIEL H	11	3	3		28
Computer Scie	CIS 51,CLARK G B	CIS 51	CLARK G B	11				20
Computer Scie	CIS 51,DARWICHE J	CIS 51	DARWICHE J	8	1		1	15
Computer Scie	CIS 51,CLARK G B	CIS 51	CLARK G B	7	5			16
Computer Scie	CIS 54,CHABAN M	CIS 54	CHABAN M	11		3	1	23
Computer Scie	CIS 55,CHABAN M	CIS 55	CHABAN M	6	1	3		12
Computer Scie	CIS 59A,ST AMANT K	CIS 59A	ST AMANT K	6	6	3		22
Computer Scie	CIS 59B,ST AMANT K	CIS 59B	ST AMANT K	6	2	1		17
Computer Scie	CIS 60A,MICHELSON G S	CIS 60A	MICHELSON G S	8	9	1	1	29
Computer Scie	CIS 60A,MICHELSON G S	CIS 60A	MICHELSON G S	18	5	2		33
Computer Scie	CIS 64,VALDIVIA O	CIS 64	VALDIVIA O	9	2	2		18
Computer Scie	CIS 67,ST AMANT K	CIS 67	ST AMANT K	3	8	2		29
Computer Scie	CIS 88A,BOLANDHEMAT F	CIS 88A	BOLANDHEMAT F	1				1
Computer Scie	CS 3,MARCHAND K A	CS 3	MARCHAND K A	12	8	6		43
Computer Scie	CS 3,ROGLER H L	CS 3	ROGLER H L	5	8	8		34
Computer Scie	CS 3,ROGLER H L	CS 3	ROGLER H L	4	7	9		36
Computer Scie	CS 3,ROGLER H L	CS 3	ROGLER H L	5	12	6		38
Computer Scie	CS 3,HURLEY D P	CS 3	HURLEY D P	14	13	9		48
Computer Scie	CS 3,ROGLER H L	CS 3	ROGLER H L	4	5	6		30
Computer Scie	CS 3,HURLEY D P	CS 3	HURLEY D P	19	6	1		34
Computer Scie	CS 3,HURLEY D P	CS 3	HURLEY D P	18	7	1		31
Computer Scie	CS 3,HURLEY D P	CS 3	HURLEY D P	15	5			27
Computer Scie	CS 3,MORGAN D B	CS 3	MORGAN D B	11	4	7		41
Computer Scie	CS 3,KURTZ K A	CS 3	KURTZ K A	12	14	9		46
Computer Scie	CS 8,DARWICHE J	CS 8	DARWICHE J	3	4	3		11
Computer Scie	CS 9A,DARWICHE J	CS 9A	DARWICHE J	6	2	1	1	13
Computer Scie	CS 15,DARWICHE J	CS 15	DARWICHE J	9	4			29
Computer Scie	CS 15,DARWICHE J	CS 15	DARWICHE J	3	4	2		20
Computer Scie	CS 17,STAHL H A	CS 17	STAHL H A	15	4	2		33
Computer Scie	CS 19,DARWICHE J	CS 19	DARWICHE J	2	2	2		21
Computer Scie	CS 20A,JUPE E	CS 20A	JUPE E	8	8	6		34
Computer Scie	CS 20B,JUPE E	CS 20B	JUPE E	12	6	2		31
Computer Scie	CS 30,DARWICHE J	CS 30	DARWICHE J	12	2			21
Computer Scie	CS 32,OLSEN A B	CS 32	OLSEN A B	5	3			11
Computer Scie	CS 41,MORGAN D B	CS 41	MORGAN D B	8	6	2		20
Computer Scie	CS 42,KURTZ K A	CS 42	KURTZ K A	16	6	4		42
Computer Scie	CS 50,DEHKHODA A	CS 50	DEHKHODA A	28	11	6		56
Computer Scie	CS 50,DEHKHODA A	CS 50	DEHKHODA A	20	17	6		51
Computer Scie	CS 50,DEHKHODA A	CS 50	DEHKHODA A	13	13	4		43
Computer Scie	CS 52,STAHL H A	CS 52	STAHL H A	15	5	5		36
Computer Scie	CS 52,ROBERTSON SC E	CS 52	ROBERTSON SC E	13	4	2		34
Computer Scie	CS 52,STAHL H A	CS 52	STAHL H A	14	8	1		39
Computer Scie	CS 53A,DEHKHODA A	CS 53A	DEHKHODA A	12	8			26
Computer Scie	CS 55,DEHKHODA A	CS 55	DEHKHODA A	11	17	9	1	45
Computer Scie	CS 55,DEHKHODA A	CS 55	DEHKHODA A	15	14	3		43
Computer Scie	CS 56,DEHKHODA A	CS 56	DEHKHODA A	18	9	1		33
Computer Scie	CS 60,ROGLER H L	CS 60	ROGLER H L	8	5	2		26
Computer Scie	CS 65,ROGLER H L	CS 65	ROGLER H L	9	1	1		19
Computer Scie	CS 73,HURLEY D P	CS 73	HURLEY D P	7	4	1	1	26
Computer Scie	CS 80,GEDDES JR J K	CS 80	GEDDES JR J K	25	3	1		32
Computer Scie	CS 80,GEDDES JR J K	CS 80	GEDDES JR J K	22	4	1		31
Computer Scie	CS 80,GEDDES JR J K	CS 80	GEDDES JR J K	24	1	2		31
Computer Scie	CS 81,GEDDES JR J K	CS 81	GEDDES JR J K	21	5	1		35
Computer Scie	CS 85,GEDDES JR J K	CS 85	GEDDES JR J K	21	1	3		34
Computer Scie	CS 86,GEDDES JR J K	CS 86	GEDDES JR J K	15	1			21
Computer Scie	CS 88B,BOLANDHEMAT F	CS 88B	BOLANDHEMAT F	1				1
Computer Scie	CS 90A,BOLANDHEMAT F 	CS 90A	BOLANDHEMAT F 					1
Computer Scie	OFTECH 1,LEIVA C Y	OFTECH 1	LEIVA C Y	7	5	2		25
Computer Scie	OFTECH 1A,GROSS D M	OFTECH 1A	GROSS D M	9	3	2		18
Computer Scie	OFTECH 1A,GROSS D M	OFTECH 1A	GROSS D M	9	3	1		18
Computer Scie	OFTECH 1A,RODRIGUEZ J E	OFTECH 1A	RODRIGUEZ J E	15		1		21
Computer Scie	OFTECH 1B,LEIVA C Y	OFTECH 1B	LEIVA C Y	1	1			3
Computer Scie	OFTECH 1B,GROSS D M	OFTECH 1B	GROSS D M	4				5
Computer Scie	OFTECH 1B,RODRIGUEZ J E	OFTECH 1B	RODRIGUEZ J E	1	3			5
Computer Scie	OFTECH 1C,LEIVA C Y	OFTECH 1C	LEIVA C Y	1				1
Computer Scie	OFTECH 1C,GROSS D M	OFTECH 1C	GROSS D M	2				3
Computer Scie	OFTECH 1C,RODRIGUEZ J E	OFTECH 1C	RODRIGUEZ J E	1				1
Computer Scie	OFTECH 5,MANTABE P	OFTECH 5	MANTABE P	6	5	6		28
Computer Scie	OFTECH 9,LEIVA C Y	OFTECH 9	LEIVA C Y	3		1		7
Computer Scie	OFTECH 9,GROSS D M 	OFTECH 9	GROSS D M 		1		1	2
Computer Scie	OFTECH 9,RODRIGUEZ J E	OFTECH 9	RODRIGUEZ J E	3				4
Computer Scie	OFTECH 10,LEIVA C Y	OFTECH 10	LEIVA C Y	9	7	3	1	28
Computer Scie	OFTECH 20,MANTABE P	OFTECH 20	MANTABE P	12	8	4		32
Computer Scie	OFTECH 23,WILLIAMSON TE D	OFTECH 23	WILLIAMSON TE D	13	8	1		27
Computer Scie	OFTECH 24,WILLIAMSON TE D	OFTECH 24	WILLIAMSON TE D	11	4			21
Computer Scie	OFTECH 30,HANA B T	OFTECH 30	HANA B T	5	3	1	2	24
Cosmetology	COSM 10A,VAUGHN C L	COSM 10A	VAUGHN C L	9	7	5		33
Cosmetology	COSM 10A,VAUGHN C L	COSM 10A	VAUGHN C L	12	7	3		33
Cosmetology	COSM 10B,VAUGHN C L	COSM 10B	VAUGHN C L	10	2	3		32
Cosmetology	COSM 10B,VAUGHN C L	COSM 10B	VAUGHN C L	14	6	3		36
Cosmetology	COSM 11A,LEDONNE H	COSM 11A	LEDONNE H	12		7		31
Cosmetology	COSM 11A,LEDONNE H 	COSM 11A	LEDONNE H 	7	7	3	12	31
Cosmetology	COSM 11B,PERRET D M	COSM 11B	PERRET D M	5	8	3		30
Cosmetology	COSM 11B,PERRET D M	COSM 11B	PERRET D M	4	5	2		33
Cosmetology	COSM 11C,ASSADI J	COSM 11C	ASSADI J	6	9	3		31
Cosmetology	COSM 11C,ASSADI J	COSM 11C	ASSADI J	4	4	5		28
Cosmetology	COSM 11D,MOISAN A V	COSM 11D	MOISAN A V	20	1			29
Cosmetology	COSM 11D,MOISAN A V	COSM 11D	MOISAN A V	17				26
Cosmetology	COSM 14A,YOUNG C P	COSM 14A	YOUNG C P	6	5	6		24
Cosmetology	COSM 14A,YOUNG C P	COSM 14A	YOUNG C P	5	5	1		31
Cosmetology	COSM 14B,YOUNG C P	COSM 14B	YOUNG C P	13	7	2		28
Cosmetology	COSM 14B,YOUNG C P	COSM 14B	YOUNG C P	7	3	2		28
Cosmetology	COSM 16,MYERS A M	COSM 16	MYERS A M	8	7	4		29
Cosmetology	COSM 16,MYERS A M	COSM 16	MYERS A M	15	5	5		29
Cosmetology	COSM 18,LIM J Y	COSM 18	LIM J Y	12	7	2		27
Cosmetology	COSM 18,LIM J Y	COSM 18	LIM J Y	11	4	1		28
Cosmetology	COSM 20,IJAMES S V	COSM 20	IJAMES S V	16	6	3		28
Cosmetology	COSM 20,IJAMES S V	COSM 20	IJAMES S V	8	4	3		27
Cosmetology	COSM 21A,MOISAN A V	COSM 21A	MOISAN A V	13	1			18
Cosmetology	COSM 21A,MOISAN A V	COSM 21A	MOISAN A V	12	1			20
Cosmetology	COSM 21B,FIGUEROA I M	COSM 21B	FIGUEROA I M	7	12	3		27
Cosmetology	COSM 21B,FIGUEROA I M	COSM 21B	FIGUEROA I M	13	4			21
Cosmetology	COSM 21C,PERRET D M	COSM 21C	PERRET D M	14	5	4		27
Cosmetology	COSM 21C,PERRET D M	COSM 21C	PERRET D M	9	4			18
Cosmetology	COSM 21D,MOISAN A V	COSM 21D	MOISAN A V	18				19
Cosmetology	COSM 21D,MOISAN A V	COSM 21D	MOISAN A V	14	1			19
Cosmetology	COSM 24,YOUNG C P	COSM 24	YOUNG C P	10	6	6		27
Cosmetology	COSM 24,WILLIAMS DONNIE	COSM 24	WILLIAMS DONNIE	10	9	3		26
Cosmetology	COSM 26,FIGUEROA I M	COSM 26	FIGUEROA I M	10	11	2		29
Cosmetology	COSM 26,FIGUEROA I M	COSM 26	FIGUEROA I M	7	2	2		17
Cosmetology	COSM 28A,LEDONNE H	COSM 28A	LEDONNE H	6	13	2		29
Cosmetology	COSM 28A,LEDONNE H	COSM 28A	LEDONNE H	1	11	6		24
Cosmetology	COSM 28B,LIM J Y	COSM 28B	LIM J Y	19	7	4		31
Cosmetology	COSM 28B,LIM J Y	COSM 28B	LIM J Y	9	7	2		23
Cosmetology	COSM 30,IJAMES S V	COSM 30	IJAMES S V	15	4	3		26
Cosmetology	COSM 30,IJAMES S V	COSM 30	IJAMES S V	12	3			30
Cosmetology	COSM 31A,ROGERS JR J	COSM 31A	ROGERS JR J	13	1			17
Cosmetology	COSM 31B,PERRET D M	COSM 31B	PERRET D M	6	5	4		16
Cosmetology	COSM 31B,PERRET D M	COSM 31B	PERRET D M	4	5	2		20
Cosmetology	COSM 31C,ASSADI J	COSM 31C	ASSADI J	6	4	2		14
Cosmetology	COSM 31C,ASSADI J	COSM 31C	ASSADI J	9	13			24
Cosmetology	COSM 36,FELIX F	COSM 36	FELIX F	20	2	1		26
Cosmetology	COSM 38,LIM J Y	COSM 38	LIM J Y	16	4	4		26
Cosmetology	COSM 38,LIM J Y	COSM 38	LIM J Y	10	6	4		26
Cosmetology	COSM 40,DICAMILLO N	COSM 40	DICAMILLO N	11	1	1		19
Cosmetology	COSM 40,DICAMILLO N	COSM 40	DICAMILLO N	6	3	2		26
Cosmetology	COSM 41B,ASSADI J	COSM 41B	ASSADI J	11	10	1		27
Cosmetology	COSM 42,ROGERS JR J	COSM 42	ROGERS JR J	9	6	3		24
Cosmetology	COSM 42,ROGERS JR J	COSM 42	ROGERS JR J	2				5
Cosmetology	COSM 46,NUNLEY R M	COSM 46	NUNLEY R M	7	5	1		15
Cosmetology	COSM 46,NUNLEY R M	COSM 46	NUNLEY R M	5	4	2		13
Cosmetology	COSM 48,KEPLER J M	COSM 48	KEPLER J M	16	4	2		23
Cosmetology	COSM 48,KEPLER J M	COSM 48	KEPLER J M	15	5	1		26
Cosmetology	COSM 48B,LEDONNE H	COSM 48B	LEDONNE H	5	10	2		21
Cosmetology	COSM 48B,LEDONNE H	COSM 48B	LEDONNE H	6	18	3		30
Cosmetology	COSM 50A,MOISAN A V	COSM 50A	MOISAN A V	9	6			25
